prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
84121599,은행관련용역,Banking services,"예금을 받아들이고 자금을 대출하며, 송금, 환금 및 어음 할인, 증권 인수 등의 업무를 수행하는 금융 기관인 은행과 관련된 용역.",,
84121799,투자상담용역,Investment advice service,"이익을 얻을 목적으로 자본이나 자금을 대는 투자와 관련된 용역으로, 투자정책, 투자분석, 투자상담 등이 이에 속함.",,
84121899,유가증권및선물관련용역,Securities and commodities markets relevant services,"재산권을 표시한 증권인 어음, 수표, 주권, 채권 따위의 유가증권과 거래소에서 장래의 일정한 시기에 현품을 넘겨줄 조건으로 매매하는 선물과 관련된 용역.",,
84131503,자동차보험,Car or truck insurance,"자동차를 소유, 사용, 관리하는 동안에 발생하는 사고에 대하여 보상하는 보험.",,
84131517,여행보험,Travel insurance,"여행중 발생하는 사망 및 신체상해와 질병치료, 휴대품손해, 배상청구 등 각종 손해를 보상.",,
84131598,손해보험,Property insurance,"보험 사고로 인한 사고(질병·상해 및 간병 제외)로 발생하는 손해에 대한 지급을 보장하는 서비스(예: 화재보험, 해상보험, 자동차보험, 보증보험 등).",,
84131601,생명보험,Life insurance,"사람의 생존 또는 사망에 관하여 약정한 금전 및 그 밖의 급여를 지급을 보장하는 서비스. (예: 생명보험, 연금보험, 퇴직보험 등)",,
84131607,책임보험,Liability insurance,피보험자가 보험기간중의 사고로 인하여 제3자에게 손해배상책임을 진 경우에 보험자가 이로 인한 손해를 보상할 것을 목적으로 하는 일종의 손해보험.,,
84131698,제3보험,Third party insurance,사람의 질병·상해 또는 이에 따른 간병에 관하여 금전 및 그 밖의 급여의 지급을 보장하는 서비스. 단체보험은 별도로 분류함.,,
84131699,단체보험,Group insurance,"집단이나 단체의 대표자를 계약자로 하며, 그 단체의 구성원인 피보험자의 상해, 질병 또는 사망시 보험금을 지급하는 보험.",,
85101599,의료검진서비스,Healthcare and Medical Examination services,"신체적, 정신적 질병을 진단하고 치료하는 서비스.",,
85119090,방역서비스,Prevention and other public health services,전염병이 발생하거나 유행하는 것을 막기 위해 행해지는 각종 조치 활동 서비스.,,
85171599,장례및묘지서비스,Funeral and grave digging services,죽은 사람에 대해 장사를 지내거나 묘지를 관리하고 공급하는 서비스.,,
86101695,교양교육서비스,Liberal Education Services,교양인으로서의 소양을 갖추도록 하는 교육서비스.,,
86101696,기타교육서비스,Other education training services,기타 분류되지 않은 교육서비스.,,
86101697,과학교육서비스,Science and education training services,과학기술 분야의 지식과 기술 제공을 위한 교육 서비스.,,
86101698,정보화교육서비스,ICT education training services,정보화 활용능력 향상을 위한 교육 서비스.,,
86101898,사회적가치교육서비스,Social value education services,"사회, 경제, 환경, 문화 등 모든 영역에서 공공의 이익과 공동체의 발전에 기여할 수 있는 사회적가치를 체계화하여 사회적 책임성 및 역량 강화 등을 목적으로 제공하는 교육서비스.",,
86101899,취업지원교육서비스,Job support training services,취업을 위해 필요한 여러 가지 기술과 지식 제공을 위한 교육 서비스.,,
86111597,콘텐츠사용서비스,Contents use services,"디지털화된 이미지, 사진, 동영상, 소리 등의 콘텐츠를 일정기간동안 다운로드, 편집, 재사용을 허가하는 서비스.",,
86111598,디지털콘텐츠개발서비스,Digital Contents development services,디지털 콘텐츠를 개발 또는 제작하는 서비스.,,
86111599,원거리교육서비스,Distance learning and teaching services,"인터넷, 전화 등 정보통신 기술을 활용하여 교사와 학생이 멀리 떨어진 상태에서 이루어지는 교육 서비스.",,
86111799,어학교육서비스,Language schooling services,"한국어, 외국어 등의 언어구사 능력 향상과 필요한 언어기능의 습득을 지원해 주기 위한 교육 서비스.",,
86141599,교육지원서비스,Education support services,"교육기법 및 교과과정 상담, 시험출제 및 평가, 기타 교육과정이나 시스템을 지원하는 서비스.",,
86141796,체험활동서비스,Experience activity services,"지역의 생태, 자연, 전통, 문화 등을 체험할 수 있도록 관광자원, 시설 및 편의를 제공하는 서비스.",,
86141797,수학여행서비스,School trip services,교육 활동의 하나로서 교사의 인솔 아래 실시하는 수학여행서비스.,,
