prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
99811015,융복합토목공학,Convergence civil engineering,"도로, 철도, 교량, 터널, 항만, 댐, 상하수도 시스템, 옥외 운동장 및 산업시스템 등의 토목건설에 관련된 엔지니어링 서비스를 제공하는 업. '토목공학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811016,융복합기계공학,Convergence mechanical engineering,"기계, 기기, 건물의 배관 및 냉·난방 시스템 및 재료 등의 설계, 개발 및 이용에 관련하여 엔지니어링 원리를 이용한 기계공학적 전문 기술을 제공하는 업. '기계공학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811017,융복합전기및전자엔지니어링,Convergence electrical and electronic engineering,전기 및 자기에 관한 모든 현상을 탐구하는 기술업 및 진공 속이나 기체·고체 내에서의 전자의 운동을 연구하는 학문 및 그것을 이용하는 기술업. '전기및전자엔지니어링'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811018,융복합화공학,Convergence chemical engineering,"화학제품의 제조공정을 능률적, 경제적으로 만들기 위한 화학 프로세스의 계획 및 제조장치의 설계, 건설, 운전 등에 관한 공학 기술업. '화공학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811021,융복합해양엔지니어링,Convergence ocean engineering,"해양개발과 관련되는 엔지니어링 용역으로, 해양자원 개발을 위한 공학적 기술 및 기기관련 기술, 해상·해중에서의 일반적인 과학과 공학적 기술 등을 연구하는 용역. '해양엔지니어링'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811022,융복합수송엔지니어링,Convergence transportation engineering,"기차나 자동차, 배, 항공기 따위로 사람이나 물건을 운송하는 기술. '수송엔지니어링'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811023,융복합항공엔지니어링,Convergence aeronautical engineering,"항공기 등의 기계를 이용한 비행이나, 항공 산업과 관련되는 기술. '항공엔지니어링'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811027,융복합제어시스템공학,Convergence instrumented control systems design and engineering services,계측제어시스템을 설계하고 관리하는 용역. '제어시스템공학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811089,융복합기타기술용역,Convergence,별도 분류되지 않는 기타 기술용역. '기타기술용역'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811090,융복합국가유산설계,Convergence national heritage maintenance engineering services,국가유산의 보수·복원 등과 관련되는 용역. '문화재설계'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811115,융복합소프트웨어엔지니어링업,Convergence software or hardware engineering,"범용성 및 주문형 컴퓨터 소프트웨어에 관하여 자문, 제작 및 공급을 수행하는 산업활동으로 컴퓨터 소프트웨어의 계획, 개발, 검사, 보수, 유지관리 등을 위한 기술과 그것을 연구하는 분야의 용역. '소프트웨어엔지니어링업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811116,융복합컴퓨터프로그래머지원업,Convergence computer programmers,컴퓨터 프로그램의 논리나 알고리즘을 설계하고 프로그램을 작성하고 테스트하는 것을 지지하여 돕는 업. '컴퓨터프로그래머지원업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811117,융복합경영정보시스템,Convergence management information systems mis,"기업 경영에서 의사결정의 유효성을 높이기 위하여, 경영 내외의 관련 정보를 필요에 따라 즉각적으로, 그리고 대량으로 수집·전달·처리·저장·이용할 수 있도록 경영정보 데이터베이스 시스템의 구축과 관련한 개발용역. '경영정보시스템'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811118,융복합시스템관리,Convergence system and system component administration services,"조직 내의 컴퓨터 시스템을 관리하기 위해, 소프트웨어 배포 및 업그레이드, 사용자정보 관리, 버전 관리, 백업 및 복구, 프린터 스풀링, 작업일정 관리, 바이러스 예방, 성능 및 처리용량 계획 등과 같은 기능의 전부 또는 일부를 수행하는 소프트웨어의 관리용역. '시스템관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811119,융복합정보검색시스템,Convergence information retrieval systems,"정보 수요자가 필요하다고 예측되는 정보나 데이터를 미리 수집, 가공, 처리하여 찾기 쉬은 형태로 축적해 놓은 데이터 베이스로부터 요구에 적합한 정보를 신속하게 찾아내어 정보 요구자에게 제공하는 시스템 개발과 관련한 용역. '정보검색시스템'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811120,융복합데이터서비스,Convergence data services,1차 자료를 수집 및 조합하여 일정 포맷에 따라 가공된 정보를 컴퓨터에 수록할 수 있도록 정보 등을 분석·가공한 후 데이터베이스화하여 관련 산업 및 기관 등 수요자에게 통신망을 통하여 정보를 실시간으로 제공하기 위한 일련의 데이터가공 및 제공 용역. '데이터서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811121,융복합인터넷서비스,Convergence internet services,"인터넷이라는 정보통신 인프라스트럭처를 활용한 비즈니스로, 인터넷 서비스 공급자, 전자우편 서비스공급자, 웹검색엔진 공급자, 웹사이트 운영서비스, 응용서비스 공급자 등과 같은 용역이 이에 속함. '인터넷서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811122,융복합소프트웨어유지및지원,Convergence software maintenance and support,"개발이 완료되어 사용 중에 있는 소프트웨어를 환경적응, 오류수정, 성능향상 등을 위하여 계속하여 수정, 보완하는 유지·보수, 지원과 관련된 용역. '소프트웨어유지및지원'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811123,융복합컴퓨터하드웨어유지보수및지원,Convergence computer hardware maintenance and support,컴퓨터하드웨어나 프로그램을 설치하고 주변기기인 입출력 장치 등을 유지·보수하는 용역. '컴퓨터하드웨어유지보수및지원'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811215,융복합경제분석,Convergence economic analysis,"국제 경제시장의 조사분석을 통한 사업타당성 조사연구, 국내 경제동향의 조사분석 및 예측에 관련된 연구, 경제발전 관련사업의 분석, 진단 및 자문 등과 관련한 용역. '경제분석'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811216,융복합통화제도쟁점,Convergence monetary systems and issues,통화의 발행 및 유통을 국가가 규제하는 제도를 연구하고 이와 관련한 문제점들을 서로 논쟁하고 연구하는 업. '통화제도쟁점'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811315,융복합방법론및분석,Convergence methodology and analysis,"어떤 대상을 연구하는 방법을 다루는 이론 및 어떠한 개념이나 시스템 전체를 구성하고 있는 것을 각 요소로 분해하여, 요소 사이의 기능적 관계를 일관성 있고 체계적인 절차에 따라 조사 또는 연구하는 용역. '방법론및분석'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811415,융복합품질관리,Convergence quality control,과학적 원리를 응용하여 제품 품질의 유지·향상을 기하기 위한 관리분야. '품질관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811416,융복합공급망관리,Convergence supply chain management,"제품생산을 위한 프로세스를 부품 조달에서 생산계획, 납품, 재고관리 등을 효율적으로 처리할 수 있는 관리 시스템. '공급망관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811417,융복합생산계획및통제,Convergence production planning and control,경영목적 수행과정의 기본적 직능(조달·생산·판매)의 하나인 생산의 여러 활동을 계획하고 통제하는 업. '생산계획및통제'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811418,융복합시설관리,Convergence facilities management,"해당 건축물 내 건축, 기계, 전기, 소방, 위생 등에 관한 일체의 설비장치를 운영하면서 정기적으로 점검·관리하고 필요 시 긴급보수 등의 업무를 수행하는 용역. '시설관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811515,융복합기상학,Convergence meteorology,"대기의 상태와 대기에서 일어나는 물리적 현상과 과정들을 연구하는 학문으로, 대기의 물리학, 화학 그리고 유체역학 뿐만 아니라 지표면, 해양 및 생물이 대기에 미치는 영향 등을 조사·연구하는 용역. '기상학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811516,융복합지도작성법,Convergence cartography,지도 제작과 관련한 과학 및 기술 서비스를 제공하는 업. '지도작성법'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811517,융복합지질학,Convergence geology,"지구 표층부의 광물암석학적인 조성, 지각의 구조, 지각의 변화 과정, 과거에 살던 고생물 등을 조사, 연구하는 자연과학의 한 기술분야. '지질학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99811518,융복합해양학및수문학,Convergence oceanography and hydrology,해양의 자연현상을 연구하는 학문의 한 기술분야 및 육수의 기원·분포·순환·특성 등을 연구대상으로 하는 과학기술 분야. '해양학및수문학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99811519,융복합지구물리학,Convergence geophysics,"지구의 내·외부에서 일어나는 모든 현상과 물성을 규명하고, 물질의 분포상태를 물리학적 방법으로 연구하는 기술분야. '지구물리학'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821015,융복합인쇄물광고,Convergence print advertising,신문·도서 등 인쇄된 물건을 통해 광고 업무를 수행하는 업. '인쇄물광고'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821016,융복합방송광고,Convergence broadcast advertising,"전파매체, 즉 텔레비전, 신문, 영화, 출판물 등을 통해 소유자를 대리하여 광고시간 또는 지면을 판매하거나, 광고매체로부터 광고시간 또는 지면을 구입하여 광고대행사 또는 광고주에게 직접 재판매하는 업. '방송광고'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821017,융복합공중광고,Convergence aerial advertising,비행기의 유색 연막을 이용하여 바람이 없는 날 공중에 광고문자를 그리는 선전방법 및 야간에 투광기를 이용하여 구름에 광고문자나 상품의 형체를 투영하는 전문업. '공중광고'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821018,융복합광고대행업,Convergence advertising agency services,"광고주를 대리하여 광고에 관련된 시장조사 및 광고기획, 광고물제작, 매체선택, 매체와의 광고계약, 광고물을 라디오, 텔레비전, 인터넷, 정기간행물, 신문 등의 광고매체에 광고하는 업무를 총괄적으로 대행하는 업. '광고대행업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821115,융복합기술적저작,Convergence technical writing,기술적으로 문학·학술·예술 등의 책이나 작품 등을 창작하거나 펴내는 업. '기술적저작'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821116,융복합비기술적저작,Convergence non technical writing,문학·학술·예술 등의 책이나 작품 등을 창작활동을 통하지 않고 판권이나 판매 대행을 하는 업. '비기술적저작'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821118,융복합편집및지원서비스,Convergence editorial and support services,신문·출판·방송·통신 등 저널리즘의 세계에서 자료나 원고 등을 수집·정리·구성하여 일정한 형태로 마무리하는 과정 및 그 기술을 지원하는 용역. '편집및지원서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821119,융복합뉴스및선전서비스,Convergence news and publicity services,일반에게 아직 알려지지 않은 새로운 소식이나 시사성이 있다고 판단되는 보도내용 및 선전과 관련된 활동 용역. '뉴스및선전서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821120,융복합통역,Convergence in person language interpretation services,말이 통하지 아니하는 사람 사이에서 뜻이 통하도록 말을 옮겨주는 서비스. '통역'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821215,융복합인쇄,Convergence printing,수수료 또는 계약에 의하여 각종 출판물 및 인쇄물을 각종 제판술에 의하여 인쇄하는 업. '인쇄'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821217,융복합사진복사,Convergence photocopying,"문자나 사진, 그림 등을 사진이나 이와 유사한 방법으로 저작물은 복제하는 업. '사진복사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821219,융복합제본,Convergence bookbinding,"서적, 신문, 정기간행물, 기록매체 및 기타 간행물의 출판, 인쇄 및 인쇄관련 보조활동, 기록매체를 제본하는 업. '제본'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821315,융복합필름처리서비스,Convergence film processing services,"사진 및 비디오의 현상처리, 인화 및 확대를 해주는 업으로, 슬라이드 제작, 오래된 사진 복원 및 투영도 수정 등도 여기에 속함. '필름처리서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821316,융복합사진사및촬영사,Convergence photographers and cinematographers,"찍고자 하는 사물의 상을 렌즈를 통해 감광유제(필름)에 옮겨 담는 일련의 작업으로, 여기에는 동영상 촬영, 비디오제작 서비스, 스튜디오 사진 촬영용역 및 정지화상, 항공사진 촬영용역 등이 이에 속함. '사진사및촬영사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821415,융복합아트디자인서비스,Convergence art design services,특수한 소재·수단·형식에 의하여 기교를 구사해서 예술적 미를 창조·표현하는 디자인 업. '아트디자인서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821416,융복합그래픽전시서비스,Convergence graphic display services,미술품·도서·상품 등을 일정한 장소에 전시하여 일반 사람에게 보여 주는 업. '그래픽전시서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99821417,융복합3차원시각화서비스,Convergence three dimensional(3d) visualization services,"메시지를 전달하기 위해 3차원(3D) 이미지, 다이어그램 또는 애니메이션을 만드는데 관련된 서비스. '3차원시각화서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821515,융복합시각예술업,Convergence visual art services,"특정 메시지, 이미지 또는 개념을 시각적으로 전달하거나 가상현상 등을 시각적으로 명확하게 전달 또는 표현하기 위한 시각전달 매체를 기획·디자인 및 관리하는 업으로, 비디오화면 구성 및 기업로고 등의 디자인, 기술적인 정확성 또는 해석기술이 요구되는 설명도 및 삽화를 제작하는 용역도 여기에 속함. '시각예술업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99821516,융복합곡예업,Convergence circus performers,"고도의 훈련으로 육체의 유연성이나 기민성 등을 응용하여 일반 사람은 할 수 없는 동작을 취하거나, 도구나 동물 등을 자유자재로 다루어 관객에게 즐거움을 주는 예능업. '곡예업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
